,term,frequency
0,say,3026
1,go,2283
2,come,1682
3,will,1529
4,thou,1504
5,king,1199
6,take,1139
7,see,1039
8,can,1004
9,little,996
10,give,849
11,man,762
12,get,715
13,away,701
14,thee,653
15,now,587
16,time,568
17,old,556
18,make,533
19,look,521
20,know,507
21,must,496
22,however,481
23,great,476
24,father,469
25,sit,461
26,well,457
27,day,455
28,child,451
29,daughter,448
30,woman,447
31,back,445
32,fall,435
33,eat,430
34,answer,426
35,cry,425
36,shall,425
37,home,424
38,stand,424
39,good,422
40,want,418
41,thy,412
42,run,412
43,bring,404
44,let,401
45,tell,393
46,long,390
47,just,383
48,find,382
49,ask,380
50,put,375
51,still,371
52,son,370
53,nothing,361
54,like,360
55,way,341
56,door,340
57,forest,338
58,brother,338
59,think,336
60,house,333
61,begin,320
62,wife,319
63,quite,317
64,last,316
65,night,315
66,mother,309
67,hear,308
68,head,307
69,hand,297
70,art,285
71,carry,284
72,open,282
73,together,281
74,water,279
75,horse,277
76,beautiful,275
77,much,273
78,first,271
79,girl,264
80,tree,264
81,hast,260
82,bird,260
83,every,252
84,maiden,252
85,morning,250
86,eye,249
87,wish,247
88,lie,246
89,poor,243
90,also,243
91,heart,238
92,call,236
93,soon,235
94,set,233
95,hunt,233
96,gold,232
97,lay,230
98,never,230
99,live,225
100,bed,225
101,whole,224
102,dear,222
103,everything,221
104,han,221
105,thought,218
106,bell,218
107,golden,215
108,household,213
109,year,212
110,grimm,211
111,tale,211
112,might,209
113,george,208
114,life,208
115,us,208
116,huntsman,208
117,jacob,207
118,wilhelm,207
119,tran,207
120,margaret,207
121,london,207
122,cut,205
123,sleep,204
124,castle,203
125,place,203
126,next,202
127,young,200
128,thing,200
129,become,195
130,full,191
131,queen,191
132,may,190
133,fire,189
134,world,188
135,work,188
136,throw,187
137,something,187
138,said,185
139,tailor,185
140,peasant,185
141,wilt,183
142,piece,183
143,turn,182
144,boy,180
145,grow,179
146,round,177
147,oh,177
148,evening,177
149,reply,176
150,master,176
151,third,176
152,room,174
153,stay,174
154,left,174
155,right,173
156,order,172
157,fly,171
158,keep,167
159,fox,167
160,longer,166
161,money,166
162,help,165
163,drink,165
164,yes,165
165,without,164
166,table,163
167,layer,161
168,person,161
169,ah,160
170,behind,159
171,already,159
172,pass,159
173,hold,158
174,servant,158
175,another,158
176,dead,157
177,forth,154
178,second,154
179,drive,154
180,youth,153
181,lord,153
182,white,151
183,walk,148
184,bride,147
185,stone,145
186,draw,145
187,happen,144
188,giant,144
189,upon,144
190,god,144
191,kill,143
192,leave,143
193,soldier,143
194,death,142
195,wait,141
196,shalt,140
197,ground,138
198,light,138
199,foot,136
200,sister,136
201,wood,133
202,many,133
203,wolf,131
204,hair,130
205,speak,130
206,length,129
207,bread,129
208,die,128
209,bear,128
210,weep,126
211,better,126
212,anything,126
213,always,126
214,alone,125
215,heaven,125
216,hare,125
217,husband,124
218,meet,124
219,far,123
220,fetch,123
221,devil,123
222,side,122
223,window,121
224,lead,121
225,asleep,121
226,enough,121
227,seat,120
228,break,120
229,force,119
230,rest,118
231,mountain,118
232,show,117
233,promise,116
234,food,115
235,seek,115
236,yet,114
237,dost,113
238,word,113
239,rich,113
240,enter,113
241,face,112
242,reach,112
243,send,112
244,ride,111
245,lose,111
246,small,111
247,thus,110
248,remain,110
249,feel,109
250,cook,109
251,princess,108
252,end,107
253,blow,106
254,dress,105
255,even,104
256,animal,103
257,palace,102
258,wine,101
259,sprang,101
260,dog,101
261,cat,100
262,love,99
263,strike,99
264,sun,98
265,canst,98
266,else,98
267,black,98
268,till,98
269,wild,98
270,apple,98
271,kind,97
272,red,97
273,kingdom,95
274,awake,95
275,thyself,95
276,likewise,94
277,step,93
278,return,93
279,cock,93
280,grethel,93
281,leg,92
282,town,91
283,tear,91
284,learn,91
285,large,91
286,beg,89
287,miller,88
288,follow,87
289,faithful,87
290,dwarf,87
291,free,86
292,fast,86
293,cow,86
294,outside,85
295,cover,85
296,wind,85
297,peter,85
298,st,85
299,name,84
300,marry,84
301,rise,84
302,receive,83
303,creep,83
304,knock,83
305,ever,83
306,“,83
307,goat,83
308,lion,83
309,catch,82
310,care,82
311,play,82
312,certainly,82
313,near,82
314,shine,81
315,trouble,81
316,beneath,81
317,field,81
318,arm,80
319,pocket,80
320,prince,80
321,able,79
322,ready,79
323,ring,79
324,earth,79
325,wedding,79
326,true,78
327,shut,78
328,therefore,78
329,mouth,77
330,half,77
331,believe,77
332,stop,77
333,try,77
334,joy,76
335,fellow,76
336,air,76
337,fish,76
338,glass,76
339,count,76
340,high,75
341,”,75
342,meat,75
343,voice,74
344,need,74
345,seize,74
346,pick,74
347,eldest,74
348,pull,74
349,clothe,73
350,desire,73
351,quickly,73
352,watch,73
353,dance,73
354,royal,72
355,thereupon,72
356,hedgehog,72
357,seem,71
358,thither,71
359,ill,71
360,hour,71
361,shoe,71
362,angry,70
363,inside,70
364,sick,70
365,youngest,69
366,afraid,69
367,witch,69
368,country,69
369,none,69
370,snowwhite,69
371,pretty,68
372,change,68
373,please,68
374,finger,67
375,corner,67
376,sack,67
377,hans,67
378,listen,66
379,beside,66
380,touch,66
381,afterwards,66
382,cried,66
383,garden,66
384,beast,66
385,road,66
386,fine,66
387,wicked,65
388,carriage,65
389,fill,65
390,dish,65
391,onwards,65
392,hansel,65
393,dragon,65
394,appear,64
395,host,64
396,allow,64
397,goose,64
398,front,63
399,cause,63
400,iron,63
401,hang,63
402,blood,63
403,wall,62
404,body,62
405,hole,62
406,bit,62
407,towards,62
408,use,62
409,church,61
410,belong,61
411,jump,61
412,silver,61
413,lustig,61
414,hunger,60
415,suddenly,60
416,rejoice,60
417,immediately,60
418,indeed,60
419,climb,60
420,laugh,60
421,top,59
422,empty,59
423,shake,59
424,heavy,59
425,straw,59
426,deliver,58
427,drop,58
428,coat,58
429,stick,58
430,fear,58
431,big,58
432,sea,58
433,hill,58
434,close,57
435,mean,57
436,peace,57
437,burn,57
438,best,57
439,cart,57
440,beat,56
441,sword,56
442,land,56
443,strange,55
444,village,55
445,maid,55
446,straight,54
447,short,54
448,forget,54
449,mouse,54
450,neck,54
451,fare,54
452,bade,54
453,flower,54
454,stretch,53
455,part,53
456,arrive,53
457,john,53
458,thank,53
459,dark,52
460,feather,52
461,alas,52
462,wash,52
463,bad,52
464,asked,52
465,gather,52
466,power,52
467,raven,52
468,moon,52
469,human,51
470,tail,51
471,hard,51
472,hide,51
473,move,51
474,strong,51
475,mind,51
476,pray,51
477,present,51
478,warm,50
479,steal,50
480,green,50
481,robber,50
482,deep,49
483,axe,49
484,across,49
485,whether,49
486,kiss,49
487,basket,49
488,mine,48
489,stove,48
490,kitchen,48
491,chamber,48
492,stranger,48
493,shoot,48
494,sing,48
495,stable,48
496,leap,47
497,shoulder,47
498,tie,47
499,moment,47
500,form,47
501,meantime,46
502,happy,46
503,buy,46
504,neither,46
505,arise,46
506,terrify,46
507,skin,46
508,branch,46
509,hen,46
510,guest,46
511,quiet,45
512,clean,45
513,really,45
514,merry,45
515,key,45
516,leaf,45
517,alive,45
518,glad,45
519,treasure,45
520,knife,45
521,whosoever,45
522,bridegroom,45
523,parent,45
524,whose,44
525,frog,44
526,scream,44
527,instantly,44
528,hut,44
529,letter,44
