,term,frequency
0,sprechen,1665
1,kommen,1433
2,sagen,1387
3,gehen,1340
4,all,986
5,könig,821
6,sehen,796
7,sollen,746
8,mußen,597
9,ganz,578
10,geben,566
11,groß,564
12,frau,556
13,antwortete,528
14,rufen,518
15,stehen,515
16,nehmen,503
17,gut,490
18,mann,475
19,ward,439
20,alt,412
21,tun,412
22,vater,411
23,laßen,383
24,fort,362
25,haus,353
26,hast,350
27,schon,350
28,mehr,347
29,mädchen,346
30,wohl,333
31,drei,329
32,liegen,318
33,setzen,317
34,fragte,313
35,bringen,306
36,zwei,304
37,wald,303
38,lieb,300
39,finden,295
40,ja,289
41,klein,281
42,leben,280
43,tag,279
44,wasser,276
45,mutter,271
46,hören,270
47,hans,261
48,lange,258
49,schloß,256
50,immer,250
51,fangen,249
52,morgen,248
53,kind,246
54,herr,245
55,erst,241
56,denken,240
57,hinaus,238
58,herz,238
59,beid,237
60,ach,236
61,augen,234
62,königstochter,228
63,springen,228
64,hinein,226
65,tochter,222
66,saßen,221
67,kopf,220
68,nacht,220
69,ab,219
70,ziehen,219
71,holen,218
72,zeit,218
73,arm,214
74,endlich,213
75,golden,212
76,wer,212
77,rechen,211
78,fallen,211
79,halten,211
80,voll,208
81,baum,208
82,sohn,207
83,hand,204
84,laufen,199
85,welt,189
86,abe,189
87,jäger,188
88,heraus,185
89,zusammen,184
90,gleich,182
91,gott,180
92,gold,179
93,bruder,179
94,essen,177
95,lassen,177
96,königin,174
97,führen,173
98,sprach,171
99,bleiben,170
100,sitzen,166
101,sollst,166
102,jung,164
103,jed,163
104,darauf,161
105,königssohn,161
106,weeißen,161
107,geld,160
108,trinken,158
109,schön,154
110,bett,154
111,helfen,152
112,pferd,151
113,werfen,150
114,vogel,150
115,mögen,149
116,schneider,149
117,fuchs,149
118,feuer,148
119,kinder,148
120,willst,147
121,braut,147
122,türe,146
123,niemand,146
124,erde,145
125,erzählen,145
126,nein,143
127,tragen,143
128,schlagen,141
129,darin,141
130,bitten,140
131,herum,139
132,treten,139
133,brot,138
134,steigen,138
135,gar,136
136,kleid,135
137,abend,133
138,soldat,132
139,legen,131
140,zurück,131
141,wußen,131
142,geh,130
143,fahren,130
144,allein,129
145,jungfrau,129
146,müssen,128
147,lang,128
148,bald,127
149,wagen,126
150,legte,126
151,heim,126
152,alten,126
153,wolf,125
154,weit,123
155,blieb,122
156,reich,122
157,davon,122
158,sterben,120
159,stellen,119
160,her,119
161,arbeit,118
162,bauer,118
163,leute,117
164,fliegen,116
165,tot,116
166,paar,115
167,lustig,114
168,wenig,114
169,trug,113
170,herab,113
171,freude,112
172,dritt,111
173,jahre,109
174,zweit,109
175,dass,109
176,stein,108
177,tisch,108
178,sieben,108
179,berg,108
180,fest,107
181,oben,106
182,schöne,106
183,junge,105
184,teufel,105
185,tage,103
186,komm,103
187,himmel,102
188,gehören,102
189,still,101
190,warum,101
191,wirt,101
192,stadt,100
193,dürfen,100
194,hinauf,98
195,haar,98
196,zeigen,98
197,hängen,97
198,sollten,96
199,schlief,96
200,wein,96
201,suchen,96
202,nied,95
203,laut,94
204,besser,94
205,soen,94
206,reichen,93
207,wort,92
208,glück,92
209,ei,92
210,hochzeit,92
211,fenster,92
212,sonne,91
213,hause,91
214,fertig,91
215,schreien,90
216,laß,90
217,heilig,90
218,stück,89
219,bös,89
220,gretel,89
221,schönen,88
222,wild,88
223,herrn,88
224,wünschen,87
225,gesicht,87
226,Endlich,87
227,glauben,86
228,esse,86
229,erblickte,85
230,zwölf,85
231,sagten,85
232,katze,84
233,ende,84
234,rot,84
235,hinab,83
236,angst,83
237,gerne,83
238,gerade,83
239,menschen,82
240,seid,82
241,brüder,82
242,singen,82
243,petrus,82
244,riese,81
245,müßen,81
246,lernen,80
247,tod,80
248,ruhe,79
249,stube,79
250,habt,79
251,höhe,78
252,schlafen,78
253,schwarz,78
254,vier,78
255,heben,77
256,verlangen,77
257,herein,77
258,kammer,77
259,arme,76
260,lachen,76
261,eins,76
262,genug,76
263,aß,75
264,gewaltig,75
265,hals,75
266,tiere,75
267,selb,74
268,weinte,74
269,los,74
270,hase,74
271,männchen,74
272,brunnen,73
273,merken,73
274,königlichen,73
275,sahen,73
276,jüngling,73
277,schneiderlein,73
278,königs,72
279,tür,72
280,rücken,72
281,erlösen,71
282,holz,71
283,steckte,71
284,abends,71
285,beim,71
286,sack,71
287,neben,70
288,ring,70
289,bein,70
290,diener,69
291,haßen,69
292,mensch,69
293,feld,69
294,tief,67
295,zufried,67
296,jahr,67
297,eben,67
298,fehlen,67
299,bär,67
300,hund,66
301,walde,65
302,stimme,65
303,not,65
304,hexe,65
305,ging,65
306,suchte,65
307,erschrak,65
308,müller,65
309,wissen,64
310,warten,64
311,kam,63
312,geschehen,63
313,öffnen,63
314,abern,63
315,hof,63
316,licht,62
317,dabei,62
318,dacht,62
319,tasche,62
320,herbei,62
321,läng,62
322,recht,62
323,land,62
324,satt,61
325,finger,61
326,dirs,61
327,traurig,61
328,müd,60
329,wär,60
330,leib,60
331,lust,60
332,mitten,60
333,aufs,60
334,vergnügt,60
335,Darauf,59
336,häuschen,59
337,klopfte,58
338,draußen,58
339,acht,58
340,kirche,58
341,ritt,58
342,heuen,57
343,unten,57
344,hervor,57
345,ans,57
346,dafür,57
347,gehabt,56
348,halb,56
349,freuen,56
350,luft,56
351,riesen,56
352,sah,55
353,mirs,55
354,versuchen,55
355,tier,55
356,tuch,55
357,jüngste,54
358,glücklich,54
359,frisch,54
360,älteste,54
361,gestalt,54
362,wind,54
363,binden,54
364,weinen,53
365,kerl,53
366,jungen,53
367,geschwind,53
368,pferde,53
369,schnell,53
370,fisch,53
371,kuh,53
372,koch,53
373,tor,53
374,apfel,53
375,schuh,53
376,gern,52
377,reden,52
378,o,52
379,garten,52
380,miteinander,52
381,meister,52
382,darinen,51
383,daran,51
384,verlor,51
385,sechs,51
386,fuß,51
387,augenblick,51
388,begegnete,51
389,ziege,51
390,gefallen,50
391,wenns,50
392,daraufen,50
393,boden,50
394,schöner,50
395,esel,50
396,fragen,50
397,dinge,49
398,fein,49
399,treppe,49
400,regen,49
401,gib,49
402,töten,49
403,lohn,49
404,blut,48
405,vögel,48
406,herunter,48
407,sollt,48
408,knabe,48
409,kommst,48
410,schwester,48
411,bräutigam,48
412,löwe,48
413,verschwinden,47
414,jemand,47
415,versprechen,47
416,ecke,47
